Link of Listing,Home Type,City,Address,Status,Price,Broker Name
https://www.zillow.com/homedetails/76-S-2nd-St-Brooklyn-NY-11249/338703996_zpid/,TOWNHOUSE,Brooklyn,"76 S 2nd St, Brooklyn, NY 11249",For Sale by Agent,"$4,950,000",Corcoran
https://www.zillow.com/homedetails/8519-Glenwood-Rd-Brooklyn-NY-11236/30768129_zpid/,MULTI_FAMILY,Brooklyn,"8519 Glenwood Road, Canarsie, NY 11236",For Sale by Agent,"$799,000",Home Global Realty Corp
https://www.zillow.com/homedetails/594-Court-St-Brooklyn-NY-11231/30573376_zpid/,TOWNHOUSE,Brooklyn,"594 Court St, Brooklyn, NY 11231",For Sale by Agent,"$1,999,000",Compass
https://www.zillow.com/homedetails/112-Gain-Ct-Brooklyn-NY-11229/30794238_zpid/,SINGLE_FAMILY,Brooklyn,"112 Gain Ct, Brooklyn, NY 11229",For Sale by Agent,"$645,000",Pullini Realty Corp.
https://www.zillow.com/homedetails/954-Brooklyn-Ave-Brooklyn-NY-11203/30659530_zpid/,SINGLE_FAMILY,Brooklyn,"954 Brooklyn Ave, Brooklyn, NY 11203",For Sale by Agent,"$650,000",IHome Realty Group LLC
https://www.zillow.com/homedetails/8618-26th-Ave-Brooklyn-NY-11214/30730069_zpid/,MULTI_FAMILY,Brooklyn,"8618 26th Ave, Brooklyn, NY 11214",For Sale by Agent,"$1,520,000",Remax Real Estate Professionals
https://www.zillow.com/homedetails/2423-Brigham-St-Brooklyn-NY-11235/30748572_zpid/,MULTI_FAMILY,Brooklyn,"2423 Brigham St, Brooklyn, NY 11235",For Sale by Agent,"$858,000",Remax Edge
https://www.zillow.com/homedetails/3098-Nostrand-Ave-Brooklyn-NY-11229/30727981_zpid/,SINGLE_FAMILY,Brooklyn,"3098 Nostrand Ave, Brooklyn, NY 11229",For Sale by Agent,"$799,000",Momentum Real Estate LLC
https://www.zillow.com/homedetails/972-E-32nd-St-Brooklyn-NY-11210/30751797_zpid/,SINGLE_FAMILY,Brooklyn,"972 E 32nd St, Brooklyn, NY 11210",For Sale by Agent,"$1,286,000",Qwest Property Group
https://www.zillow.com/homedetails/464-1st-St-Brooklyn-NY-11215/30587256_zpid/,TOWNHOUSE,Brooklyn,"464 1st St, Brooklyn, NY 11215",For Sale by Agent,"$4,995,000",Corcoran
https://www.zillow.com/homedetails/1861-82nd-St-Brooklyn-NY-11214/30709575_zpid/,MULTI_FAMILY,Brooklyn,"1861 82nd St, Brooklyn, NY 11214",For Sale by Agent,"$1,099,000",Compass
https://www.zillow.com/homedetails/658-E-31st-St-Brooklyn-NY-11210/30663831_zpid/,MULTI_FAMILY,Brooklyn,"658 E 31st St, Brooklyn, NY 11210",For Sale by Agent,"$975,000","WorldWide Homes, Inc."
https://www.zillow.com/homedetails/342-Thomas-S-Boyland-St-Brooklyn-NY-11233/79714966_zpid/,MULTI_FAMILY,Brooklyn,"342 Thomas S Boyland St, Brooklyn, NY 11233",For Sale by Agent,"$1,249,000",Corcoran
https://www.zillow.com/homedetails/1161-E-38th-St-Brooklyn-NY-11210/30760385_zpid/,MULTI_FAMILY,Brooklyn,"1161 E 38th St, Brooklyn, NY 11210",For Sale by Agent,"$1,295,000",Keystone Realty USA Corp
