Link of Listing,Home Type,Address,Status,Price,Broker Name
https://www.zillow.com/homedetails/2072-E-74th-St-Brooklyn-NY-11234/30782383_zpid/,SINGLE_FAMILY,"2072 E 74th St, Brooklyn, NY 11234",For Sale by Agent,"$639,000 ",Classic Homes & Properties
https://www.zillow.com/homedetails/2326-85th-St-1-Brooklyn-NY-11214/2053390652_zpid/,SINGLE_FAMILY,"2326 85th St #1, Brooklyn, NY 11214",For Sale by Agent,"$980,000 ",ProBase Real Estate
https://www.zillow.com/homedetails/2491-E-3rd-St-Brooklyn-NY-11223/30739506_zpid/,MULTI_FAMILY,"2491 E 3rd St, Brooklyn, NY 11223",For Sale by Agent,"$1,095,000 ",Ilite Realty Inc
https://www.zillow.com/homedetails/36-Schermerhorn-St-Brooklyn-NY-11201/122025342_zpid/,TOWNHOUSE,"36 Schermerhorn St, Brooklyn, NY 11201",For Sale by Agent,"$6,995,000 ",Leslie J. Garfield
https://www.zillow.com/homedetails/693-Saint-Johns-Pl-Brooklyn-NY-11216/30592411_zpid/,SINGLE_FAMILY,"693 Saint Johns Pl, Brooklyn, NY 11216",For Sale by Agent,"$1,995,000 ",Corcoran
https://www.zillow.com/homedetails/1302-Foster-Ave-Brooklyn-NY-11230/30669766_zpid/,MULTI_FAMILY,"1302 Foster Ave, Brooklyn, NY 11230",For Sale by Agent,"$1,850,000 ",Compass
https://www.zillow.com/homedetails/413-Degraw-St-Brooklyn-NY-11217/30571946_zpid/,TOWNHOUSE,"413 Degraw St, Brooklyn, NY 11217",For Sale by Agent,"$7,400,000 ",Compass
https://www.zillow.com/homedetails/226-12th-St-Brooklyn-NY-11215/30585581_zpid/,MULTI_FAMILY,"226 12th St, Brooklyn, NY 11215",For Sale by Agent,"$2,999,990 ",Realty Trends Corp
https://www.zillow.com/homedetails/48-Garden-Pl-Brooklyn-NY-11201/30567867_zpid/,TOWNHOUSE,"48 Garden Pl, Brooklyn, NY 11201",For Sale by Agent,"$10,495,000 ",Compass
https://www.zillow.com/homedetails/215-Java-St-MF-Brooklyn-NY-11222/2054478703_zpid/,MULTI_FAMILY,"215 Java St #MF, Brooklyn, NY 11222",For Sale by Agent,"$1,149,000 ",Capri Jet Realty Corp
https://www.zillow.com/homedetails/1419-E-98th-St-Brooklyn-NY-11236/30777321_zpid/,MULTI_FAMILY,"1419 E 98th St, Brooklyn, NY 11236",For Sale by Agent,"$699,000 ",Talk of the Town Realty
https://www.zillow.com/homedetails/464-5th-St-Brooklyn-NY-11215/30584176_zpid/,TOWNHOUSE,"464 5th St, Brooklyn, NY 11215",For Sale by Agent,"$3,900,000 ",Keller Williams NYC
https://www.zillow.com/homedetails/266-Bond-St-Brooklyn-NY-11217/2057345356_zpid/,SINGLE_FAMILY,"266 Bond St, Brooklyn, NY 11217",For Sale by Owner,"$6,500,007 ",N/A
https://www.zillow.com/homedetails/2526-Ralph-Ave-Brooklyn-NY-11234/30781210_zpid/,SINGLE_FAMILY,"2526 Ralph Ave, Brooklyn, NY 11234",For Sale by Agent,"$699,000 ",Pride Estates
https://www.zillow.com/homedetails/65-Gates-Ave-Brooklyn-NY-11238/83047893_zpid/,MULTI_FAMILY,"65 Gates Ave, Brooklyn, NY 11238",For Sale by Agent,"$2,600,000 ",Compass
